url,label
https://ooicat.com/auth/register,Email Validation
https://my.hkssnetwork.org/auth/register,Email Validation
https://关于gfw娘是个小碧池这件事.我有一句mmp要讲.com/auth/register,Email Validation
https://cn.xkv2ray.net/auth/register,Email Validation
https://www.mjjspeed.com/auth/register,Email Validation
https://nightswatchcdn.com/auth/register,Email Validation
https://27ssr.com/auth/register,Email Validation
https://piecloud.xyz/auth/register,Email Validation
https://gkdcloud.shop/auth/register,GeeTest Validation
https://2ao.cc/auth/register,GeeTest Validation
https://xinv2.com/auth/register,GeeTest Validation
https://ssrcool.com/auth/register,GeeTest Validation
https://www.wolaile.icu/auth/register,GeeTest Validation
https://qwword.xyz/auth/register,GeeTest Validation
https://lei-su.com/auth/register,GeeTest Validation
https://30dcloud.xyz/auth/register,GeeTest Validation
https://www.mxyssr.fun/auth/register,GeeTest Validation
https://dotunnel005.com/auth/register,GeeTest Validation
https://www.liuchangyun.com/auth/register,GeeTest Validation
https://www.299323.xyz/auth/register,GeeTest Validation
https://geess.pw/auth/register,GeeTest Validation
https://www.2233cloud.com/auth/register,GeeTest Validation
https://poigvvv.xyz/auth/register,GeeTest Validation
https://www.axcc.me/auth/register,GeeTest Validation
https://maossr.top/auth/register,GeeTest Validation
https://ccave.com/auth/register,GeeTest Validation
https://少数人.moe/auth/register,GeeTest Validation
https://88cloud.top/auth/register,GeeTest Validation
https://yujiasu.click/auth/register,GeeTest Validation
https://byjc.xyz/auth/register,GeeTest Validation
https://wgy0.com/auth/register,GeeTest Validation
https://daydaygeek.icu/auth/register,GeeTest Validation
https://youyun00.com/auth/register,GeeTest Validation
https://www.wiougong.space/auth/register,GeeTest Validation
https://ssthy.com/auth/register,GeeTest Validation
https://milou.cc/auth/register,GeeTest Validation
https://www.firmanlo.top/auth/register,GeeTest Validation
https://nshfjy.xyz/auth/register,GeeTest Validation
https://pipkaport.xyz/auth/register,GeeTest Validation
https://dripcloud.uno/auth/register,Google reCAPTCHA
https://ark.to/auth/register,Google reCAPTCHA
https://bilii.org/auth/register,Normal
https://selaplane.com/auth/register,Normal
https://www.fangzhou.date/auth/register,Normal
https://4thunter.net/auth/register,Normal
https://pluto.aaxc.club/auth/register,Normal
https://www.xiaomaochiyu.com/auth/register,Normal
https://www.onesy.top/auth/register,Normal
https://www.tui889.xyz/auth/register,Normal
https://ek12.website/auth/register,Normal
http://v2cloud.site/auth/register,危险通信(HTTP)
http://seona.one/auth/register,危险通信(HTTP)
http://u7na.mwywi.jqxu1.99xg3e6.porolink.one/auth/register,危险通信(HTTP)
http://freesock.us/auth/register,危险通信(HTTP)
http://216.127.187.77/auth/register,危险通信(HTTP)
http://6yhy.com/auth/register,危险通信(HTTP)
http://yzkj.best/auth/register,危险通信(HTTP)
http://wanda123.xyz/auth/register,危险通信(HTTP)
http://www.xinyun.cyou/auth/register,危险通信(HTTP)
http://www.pandabb.xyz/auth/register,危险通信(HTTP)
http://www.syvpn.buzz/auth/register,危险通信(HTTP)
http://huanying.xyz/auth/register,危险通信(HTTP)
http://ziyo.us/auth/register,危险通信(HTTP)
http://101.32.38.29/auth/register,危险通信(HTTP)
https://www.tannel.xyz/auth/register,拒绝注册
https://www.bigfeng.club/auth/register,拒绝注册
https://144.202.105.69/auth/register,未授权站点
https://103.172.116.172/auth/register,未授权站点
https://by1.qqdou.cyou/auth/register,请求异常(ERROR:302)
https://aa.goingsoftv.com/auth/register,请求异常(ERROR:302)
https://hivessr.com/auth/register,请求异常(ERROR:403)
https://0x000.store/auth/register,请求异常(ERROR:403)
https://sspiev2.com/auth/register,请求异常(ERROR:403)
https://gammassr.com/auth/register,请求异常(ERROR:404)
https://jssj.xyz/auth/register,限制注册(邀请)
https://fastpeak.net/auth/register,限制注册(邀请)
https://mod1.qsvpv.com/auth/register,限制注册(邀请)
https://fook.us/auth/register,限制注册(邀请)
https://hyss.org/auth/register,限制注册(邮箱)
https://getluffy.asia/auth/register,限制注册(邮箱)
https://a.wanna-free.best/auth/register,限制注册(邮箱)
https://miru.cloud/auth/register,限制注册(邮箱)
https://fastnode.info/auth/register,限制注册(邮箱)
